id,description,date,number,lat,lng,count
91,SCHOOL VISIT ,6/1/19,294,42.463211,-83.490985,1
92,SCHOOL VISIT ,6/3/19,298,42.461427,-83.446007,1
93,SCHOOL VISIT ,6/3/19,285,42.465061,-83.461523,1
94,SCHOOL VISIT ,6/4/19,285,42.465061,-83.461523,1
95,SCHOOL VISIT ,6/5/19,244,42.465061,-83.461523,1
96,SCHOOL VISIT ,6/5/19,216,42.521202,-83.469492,1
97,SCHOOL VISIT ,6/5/19,248,42.463211,-83.490985,1
98,SCHOOL VISIT ,6/5/19,244,42.461427,-83.446007,1
99,SCHOOL VISIT ,6/6/19,216,42.521202,-83.469492,1
100,SCHOOL VISIT ,6/6/19,216,42.508257,-83.454752,1
101,SCHOOL VISIT ,6/6/19,248,42.466458,-83.49223,1
102,SCHOOL VISIT ,6/7/19,256,42.512892,-83.449649,1
103,SCHOOL VISIT ,6/8/19,249,42.477497,-83.495401,1
104,SCHOOL VISIT ,6/10/19,248,42.468959,-83.522221,1
105,SCHOOL VISIT ,6/10/19,244,42.465061,-83.461523,1
106,SCHOOL VISIT ,6/10/19,216,42.521202,-83.469492,1
107,SCHOOL VISIT ,6/10/19,248,42.486569,-83.535075,1
108,SCHOOL VISIT ,6/11/19,217,42.521202,-83.469492,1
109,SCHOOL VISIT ,6/11/19,217,42.512892,-83.449649,1
110,SCHOOL VISIT ,6/11/19,217,42.508257,-83.454752,1
111,SCHOOL VISIT ,6/11/19,248,42.466458,-83.49223,1
112,SCHOOL VISIT ,6/11/19,248,42.476463,-83.497671,1
113,SCHOOL VISIT ,6/11/19,230,42.461427,-83.446007,1
114,SCHOOL VISIT ,7/8/19,244,42.461427,-83.446007,1
115,SCHOOL VISIT ,7/11/19,295,42.468959,-83.522221,1
116,SCHOOL VISIT ,8/2/19,276,42.473913,-83.497865,1
117,SCHOOL VISIT ,9/3/19,253,42.463211,-83.490985,1
118,SCHOOL VISIT ,9/3/19,300,42.468514,-83.439433,1
119,SCHOOL VISIT ,9/3/19,217,42.521202,-83.469492,1
120,SCHOOL VISIT ,9/3/19,248,42.468959,-83.522221,1
121,SCHOOL VISIT ,9/3/19,217,42.512892,-83.449649,1
122,SCHOOL VISIT ,9/3/19,217,42.508257,-83.454752,1
123,SCHOOL VISIT ,9/3/19,253,42.450681,-83.504154,1
124,SCHOOL VISIT ,9/3/19,216,42.521202,-83.469492,1
125,SCHOOL VISIT ,9/3/19,230,42.461427,-83.446007,1
126,SCHOOL VISIT ,9/3/19,253,42.486569,-83.535075,1
127,SCHOOL VISIT ,9/3/19,230,42.465061,-83.461523,1
128,SCHOOL VISIT ,9/3/19,248,42.47843,-83.495453,1
129,SCHOOL VISIT ,9/3/19,248,42.476463,-83.497671,1
130,SCHOOL VISIT ,9/3/19,248,42.477497,-83.495401,1
131,SCHOOL VISIT ,9/3/19,216,42.521202,-83.469492,1
132,SCHOOL VISIT ,9/3/19,248,42.468959,-83.522221,1
133,SCHOOL VISIT ,9/4/19,295,42.489376,-83.540248,1
134,SCHOOL VISIT ,9/5/19,276,42.489376,-83.540248,1
135,SCHOOL VISIT ,9/5/19,304,42.521202,-83.469492,1
136,SCHOOL VISIT ,9/6/19,248,42.47843,-83.495453,1
137,SCHOOL VISIT ,9/6/19,248,42.476463,-83.497671,1
138,SCHOOL VISIT ,9/6/19,248,42.477863,-83.495421,1
139,SCHOOL VISIT ,9/6/19,216,42.521202,-83.469492,1
140,SCHOOL VISIT ,9/6/19,216,42.508257,-83.454752,1
141,SCHOOL VISIT ,9/7/19,252,42.477497,-83.495401,1
142,SCHOOL VISIT ,9/10/19,295,42.489376,-83.540248,1
143,SCHOOL VISIT ,9/10/19,278,42.489376,-83.540248,1
144,SCHOOL VISIT ,9/10/19,286,42.489376,-83.540248,1
145,SCHOOL VISIT ,9/11/19,244,42.465061,-83.461523,1
146,SCHOOL VISIT ,9/11/19,230,42.461427,-83.446007,1
147,SCHOOL VISIT ,9/11/19,244,42.461427,-83.446007,1
148,SCHOOL VISIT ,9/11/19,287,42.468959,-83.522221,1
149,SCHOOL VISIT ,9/12/19,244,42.465061,-83.461523,1
150,SCHOOL VISIT ,10/1/19,298,42.521202,-83.469492,1
151,SCHOOL VISIT ,10/1/19,217,42.489376,-83.540248,1
152,SCHOOL VISIT ,10/1/19,298,42.468959,-83.522221,1
153,SCHOOL VISIT ,10/1/19,253,42.489376,-83.540248,1
154,SCHOOL VISIT ,10/1/19,298,42.486569,-83.535075,1
155,SCHOOL VISIT ,10/1/19,253,42.479326,-83.495504,1
156,SCHOOL VISIT ,10/1/19,298,42.508257,-83.454752,1
157,SCHOOL VISIT ,10/1/19,253,42.463211,-83.490985,1
158,SCHOOL VISIT ,10/1/19,244,42.473913,-83.497865,1
159,SCHOOL VISIT ,10/1/19,221,42.450681,-83.504154,1
160,SCHOOL VISIT ,10/1/19,244,42.476463,-83.497671,1
161,SCHOOL VISIT ,10/1/19,221,42.468959,-83.522221,1
162,SCHOOL VISIT ,10/1/19,244,42.484082,-83.457421,1
163,SCHOOL VISIT ,10/1/19,230,42.465061,-83.461523,1
164,SCHOOL VISIT ,10/1/19,230,42.461427,-83.446007,1
165,SCHOOL VISIT ,10/2/19,244,42.463211,-83.490985,1
166,SCHOOL VISIT ,10/2/19,244,42.458782,-83.440735,1
167,SCHOOL VISIT ,10/2/19,244,42.468959,-83.522221,1
168,SCHOOL VISIT ,10/2/19,292,42.508257,-83.454752,1
