id,offense description,date,number,lat,lng
97,SCHOOL VISIT ,06/05/19,248,42.463211,-83.490985
98,SCHOOL VISIT ,06/05/19,244,42.461427,-83.446007
99,SCHOOL VISIT ,06/06/19,216,42.521202,-83.469492
100,SCHOOL VISIT ,06/06/19,216,42.508257,-83.454752
101,SCHOOL VISIT ,06/06/19,248,42.466458,-83.49223
102,SCHOOL VISIT ,06/07/19,256,42.512892,-83.449649
103,SCHOOL VISIT ,06/08/19,249,42.477497,-83.495401
104,SCHOOL VISIT ,06/10/19,248,42.468959,-83.522221
105,SCHOOL VISIT ,06/10/19,244,42.465061,-83.461523
106,SCHOOL VISIT ,06/10/19,216,42.521202,-83.469492
107,SCHOOL VISIT ,06/10/19,248,42.486569,-83.535075
108,SCHOOL VISIT ,06/11/19,217,42.521202,-83.469492
109,SCHOOL VISIT ,06/11/19,217,42.512892,-83.449649
110,SCHOOL VISIT ,06/11/19,217,42.508257,-83.454752
111,SCHOOL VISIT ,06/11/19,248,42.466458,-83.49223
112,SCHOOL VISIT ,06/11/19,248,42.476463,-83.497671
113,SCHOOL VISIT ,06/11/19,230,42.461427,-83.446007
114,SCHOOL VISIT ,07/08/19,244,42.461427,-83.446007
115,SCHOOL VISIT ,07/11/19,295,42.468959,-83.522221
116,SCHOOL VISIT ,08/02/19,276,42.473913,-83.497865
117,SCHOOL VISIT ,09/03/19,253,42.463211,-83.490985
118,SCHOOL VISIT ,09/03/19,300,42.468514,-83.439433
119,SCHOOL VISIT ,09/03/19,217,42.521202,-83.469492
120,SCHOOL VISIT ,09/03/19,248,42.468959,-83.522221
121,SCHOOL VISIT ,09/03/19,217,42.512892,-83.449649
122,SCHOOL VISIT ,09/03/19,217,42.508257,-83.454752
123,SCHOOL VISIT ,09/03/19,253,42.450681,-83.504154
124,SCHOOL VISIT ,09/03/19,216,42.521202,-83.469492
125,SCHOOL VISIT ,09/03/19,230,42.461427,-83.446007
126,SCHOOL VISIT ,09/03/19,253,42.486569,-83.535075
127,SCHOOL VISIT ,09/03/19,230,42.465061,-83.461523
128,SCHOOL VISIT ,09/03/19,248,42.478430,-83.495453
129,SCHOOL VISIT ,09/03/19,248,42.476463,-83.497671
130,SCHOOL VISIT ,09/03/19,248,42.477497,-83.495401
131,SCHOOL VISIT ,09/03/19,216,42.521202,-83.469492
132,SCHOOL VISIT ,09/03/19,248,42.468959,-83.522221
133,SCHOOL VISIT ,09/04/19,295,42.489376,-83.540248
134,SCHOOL VISIT ,09/05/19,276,42.489376,-83.540248
135,SCHOOL VISIT ,09/05/19,304,42.521202,-83.469492
136,SCHOOL VISIT ,09/06/19,248,42.478430,-83.495453
137,SCHOOL VISIT ,09/06/19,248,42.476463,-83.497671
138,SCHOOL VISIT ,09/06/19,248,42.477863,-83.495421
139,SCHOOL VISIT ,09/06/19,216,42.521202,-83.469492
140,SCHOOL VISIT ,09/06/19,216,42.508257,-83.454752
141,SCHOOL VISIT ,09/07/19,252,42.477497,-83.495401
142,SCHOOL VISIT ,09/10/19,295,42.489376,-83.540248
143,SCHOOL VISIT ,09/10/19,278,42.489376,-83.540248
144,SCHOOL VISIT ,09/10/19,286,42.489376,-83.540248
145,SCHOOL VISIT ,09/11/19,244,42.465061,-83.461523
146,SCHOOL VISIT ,09/11/19,230,42.461427,-83.446007
147,SCHOOL VISIT ,09/11/19,244,42.461427,-83.446007
148,SCHOOL VISIT ,09/11/19,287,42.468959,-83.522221
149,SCHOOL VISIT ,09/12/19,244,42.465061,-83.461523
150,SCHOOL VISIT ,10/01/19,298,42.521202,-83.469492
151,SCHOOL VISIT ,10/01/19,217,42.489376,-83.540248
152,SCHOOL VISIT ,10/01/19,298,42.468959,-83.522221
153,SCHOOL VISIT ,10/01/19,253,42.489376,-83.540248
154,SCHOOL VISIT ,10/01/19,298,42.486569,-83.535075
155,SCHOOL VISIT ,10/01/19,253,42.479326,-83.495504
156,SCHOOL VISIT ,10/01/19,298,42.508257,-83.454752
157,SCHOOL VISIT ,10/01/19,253,42.463211,-83.490985
158,SCHOOL VISIT ,10/01/19,244,42.473913,-83.497865
159,SCHOOL VISIT ,10/01/19,221,42.450681,-83.504154
160,SCHOOL VISIT ,10/01/19,244,42.476463,-83.497671
161,SCHOOL VISIT ,10/01/19,221,42.468959,-83.522221
162,SCHOOL VISIT ,10/01/19,244,42.484082,-83.457421
163,SCHOOL VISIT ,10/01/19,230,42.465061,-83.461523
164,SCHOOL VISIT ,10/01/19,230,42.461427,-83.446007
165,SCHOOL VISIT ,10/02/19,244,42.463211,-83.490985
166,SCHOOL VISIT ,10/02/19,244,42.458782,-83.440735
167,SCHOOL VISIT ,10/02/19,244,42.468959,-83.522221
168,SCHOOL VISIT ,10/02/19,292,42.508257,-83.454752
169,SCHOOL VISIT ,10/02/19,256,42.521202,-83.469492
170,SCHOOL VISIT ,10/02/19,244,42.468959,-83.522221
171,SCHOOL VISIT ,10/02/19,266,42.465061,-83.461523
172,SCHOOL VISIT ,10/02/19,266,42.461427,-83.446007
173,SCHOOL VISIT ,10/03/19,244,42.468959,-83.522221
174,SCHOOL VISIT ,10/03/19,244,42.486569,-83.535075
175,SCHOOL VISIT ,10/03/19,244,42.489376,-83.540248
176,SCHOOL VISIT ,10/03/19,260,42.508257,-83.454752
